,Prod_ID,Ques_ID,Ans_ID,Review_ID,score
0,1.0,0.0,2.0,10.0,0.8915083408355713
1,1.0,0.0,2.0,23.0,0.8813967704772949
2,1.0,0.0,2.0,11.0,0.8651326298713684
3,1.0,0.0,2.0,53.0,0.8575364947319031
4,1.0,0.0,2.0,27.0,0.8495874404907227
71,1.0,1.0,3.0,46.0,0.8524031639099121
72,1.0,1.0,3.0,11.0,0.8213918209075928
73,1.0,1.0,3.0,24.0,0.8001168370246887
74,1.0,1.0,3.0,10.0,0.7984087467193604
75,1.0,1.0,3.0,64.0,0.7939191460609436
142,1.0,2.0,5.0,57.0,0.7528801560401917
143,1.0,2.0,5.0,31.0,0.740017831325531
144,1.0,2.0,5.0,33.0,0.7234576940536499
145,1.0,2.0,5.0,67.0,0.713767945766449
146,1.0,2.0,5.0,26.0,0.703759491443634
213,1.0,3.0,7.0,57.0,0.8016682863235474
214,1.0,3.0,7.0,67.0,0.7913464903831482
215,1.0,3.0,7.0,11.0,0.7467625737190247
216,1.0,3.0,7.0,8.0,0.7423496842384338
217,1.0,3.0,7.0,48.0,0.7422725558280945
284,1.0,4.0,10.0,30.0,0.7400436997413635
285,1.0,4.0,10.0,27.0,0.7321419715881348
286,1.0,4.0,10.0,11.0,0.7225560545921326
287,1.0,4.0,10.0,64.0,0.720708429813385
288,1.0,4.0,10.0,58.0,0.7203760147094727
355,2.0,5.0,13.0,302.0,0.6810666918754578
356,2.0,5.0,13.0,831.0,0.6595399379730225
357,2.0,5.0,13.0,110.0,0.6527386903762817
358,2.0,5.0,13.0,72.0,0.6519879698753357
359,2.0,5.0,13.0,521.0,0.6508430242538452
1444,2.0,6.0,15.0,707.0,0.616291344165802
1445,2.0,6.0,15.0,130.0,0.6092554926872253
1446,2.0,6.0,15.0,397.0,0.5576789379119873
1447,2.0,6.0,15.0,214.0,0.5529211163520813
1448,2.0,6.0,15.0,977.0,0.5523121356964111
2533,2.0,7.0,24.0,1074.0,0.8014143109321594
2534,2.0,7.0,24.0,865.0,0.7919803857803345
2535,2.0,7.0,24.0,951.0,0.7815415859222412
2536,2.0,7.0,24.0,95.0,0.7706094980239868
2537,2.0,7.0,24.0,575.0,0.7585197687149048
3622,2.0,8.0,30.0,320.0,0.8052070140838623
3623,2.0,8.0,30.0,991.0,0.7626158595085144
3624,2.0,8.0,30.0,845.0,0.7611162662506104
3625,2.0,8.0,30.0,261.0,0.7609344720840454
3626,2.0,8.0,30.0,1009.0,0.7582120895385742
4711,2.0,9.0,34.0,569.0,0.8871694207191467
4712,2.0,9.0,34.0,400.0,0.8859632015228271
4713,2.0,9.0,34.0,947.0,0.8828801512718201
4714,2.0,9.0,34.0,511.0,0.88092041015625
4715,2.0,9.0,34.0,146.0,0.8796873688697815
5800,2.0,10.0,38.0,397.0,0.8531410694122314
5801,2.0,10.0,38.0,391.0,0.847795307636261
5802,2.0,10.0,38.0,267.0,0.8437849879264832
5803,2.0,10.0,38.0,1059.0,0.8423923850059509
5804,2.0,10.0,38.0,894.0,0.8204484581947327
6889,2.0,11.0,42.0,900.0,0.8406344056129456
6890,2.0,11.0,42.0,509.0,0.8251391649246216
